	Pmid	TableID	NeuronLongName	NeuroLEXID	NeuroNERAnnots
0	26566266.0	49827.0	Hippocampus CA1 stratum radiatum fast-spiking partially parvalbumin-positive GABAergic interneurons		[ABA_REGION:382, UNKN_REGION:1407, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, Missing:partially, NCBI_GENE:19293, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneurons]
1	26566266.0	49827.0	Hippocampus CA1 stratum radiatum non-fast-spiking GABAergic interneurons		[ABA_REGION:382, UNKN_REGION:1407, HBP_EPHYS:0000090, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneurons]
2	26566266.0	49827.0	Hippocampus CA1 stratum radiatum parvalbumin-positive with perisomatic innervation GABAergic interneurons		[ABA_REGION:382, UNKN_REGION:1407, NCBI_GENE:19293, Missing:with perisomatic innervation, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneurons]
3	26763778.0	49631.0	Central Medial Thalamus single low-threshold bursting neuron		[Function:Central, UNKN_REGION:14, ABA_REGION:549, Missing:single, HBP_EPHYS:0000110, HBP_EPHYS_TRIGGER:0000005, NeuronTrigger:neuron]
4	26763778.0	49631.0	Central Medial Thalamus tonically firing neuron		[Function:Central, UNKN_REGION:14, ABA_REGION:549, Missing:tonically, Missing:tonically, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:neuron]
5	24108800.0	35984.0	 medial prefrontal cortex fast spiking interneuron		[ABA_REGION:714, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]
6	24108800.0	35984.0	medial prefrontal cortex low-threshold spiking interneuron		[ABA_REGION:714, HBP_EPHYS:0000110, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]
7	24108800.0	35984.0	somatosensory cortex fast-firing interneuron		[ABA_REGION:453, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:interneuron]
8	24108800.0	35984.0	somatosensory cortex non-fast firing interneuron		[ABA_REGION:453, HBP_EPHYS:0000090, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:interneuron]
9	24323499.0	36033.0	Primary visual cortex layer 3 pyramidal aged neurons		[ABA_REGION:385, HBP_LAYER:0000003, HBP_MORPHOLOGY:0000001, HBP_DEVELOPMENTAL:0000008, NeuronTrigger:neurons]
10	24323499.0	36033.0	Primary visual cortex layer 3 pyramidal young neurons		[ABA_REGION:385, HBP_LAYER:0000003, HBP_MORPHOLOGY:0000001, HBP_DEVELOPMENTAL:0000003, NeuronTrigger:neurons]
11	24554724.0	36341.0	Auditory Cortex Layer 2/3 Pyramidal Cells		[ABA_REGION:247, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:Cells]
