	neuroNER_ID	neuroNER_Name
0	ABA_REGION:1	Tuberomammillary nucleus, ventral part
1	ABA_REGION:10	Superior colliculus, motor related, intermediate gray layer
2	ABA_REGION:100	Interpeduncular nucleus
3	ABA_REGION:1000	extrapyramidal fiber systems
4	ABA_REGION:1001	Lobule V
5	ABA_REGION:1002	Primary auditory area
6	ABA_REGION:1003	corticopontine tract
7	ABA_REGION:1004	Ventral premammillary nucleus
8	ABA_REGION:1005	Primary auditory area, layer 6b
9	ABA_REGION:1006	Primary somatosensory area, trunk, layer 1
10	ABA_REGION:1007	Simple lobule
11	ABA_REGION:1008	Geniculate group, dorsal thalamus
12	ABA_REGION:1009	fiber tracts
13	ABA_REGION:101	Ventral cochlear nucleus
14	ABA_REGION:1010	Visceral area, layer 4
15	ABA_REGION:1011	Dorsal auditory area
16	ABA_REGION:1012	corticorubral tract
17	ABA_REGION:1014	Geniculate group, ventral thalamus
18	ABA_REGION:1015	Anterior cingulate area, dorsal part, layer 5
19	ABA_REGION:1016	olfactory nerve layer of main olfactory bulb
20	ABA_REGION:1017	Ansiform lobule
21	ABA_REGION:1018	Ventral auditory area
22	ABA_REGION:1019	corticospinal tract, crossed
23	ABA_REGION:102	nigrostriatal tract
24	ABA_REGION:1020	Posterior complex of the thalamus
25	ABA_REGION:1021	Secondary motor area, layer 6a
26	ABA_REGION:1022	Globus pallidus, external segment
27	ABA_REGION:1023	Ventral auditory area, layer 5
28	ABA_REGION:1024	grooves
29	ABA_REGION:1025	Paramedian lobule
30	ABA_REGION:1026	Primary somatosensory area, upper limb, layer 6b
31	ABA_REGION:1027	Posterior auditory area
32	ABA_REGION:1028	corticospinal tract, uncrossed
33	ABA_REGION:1029	Posterior limiting nucleus of the thalamus
34	ABA_REGION:103	Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part
35	ABA_REGION:1030	Primary somatosensory area, lower limb, layer 1
36	ABA_REGION:1031	Globus pallidus, internal segment
37	ABA_REGION:1032	grooves of the cerebral cortex
38	ABA_REGION:1033	Copula pyramidis
39	ABA_REGION:1034	Taenia tecta, dorsal part, layer 1
40	ABA_REGION:1035	Supplemental somatosensory area, layer 4
41	ABA_REGION:1036	corticotectal tract
42	ABA_REGION:1037	Postsubiculum
43	ABA_REGION:1038	Primary somatosensory area, barrel field, layer 6a
44	ABA_REGION:1039	Gracile nucleus
45	ABA_REGION:104	Agranular insular area, dorsal part
46	ABA_REGION:1040	grooves of the cerebellar cortex
47	ABA_REGION:1041	Paraflocculus
48	ABA_REGION:1042	Taenia tecta, dorsal part, layer 2
49	ABA_REGION:1043	crossed tectospinal pathway
50	ABA_REGION:1044	Peripeduncular nucleus
51	ABA_REGION:1045	Ectorhinal area/Layer 6b
52	ABA_REGION:1046	Anteromedial visual area, layer 6a
53	ABA_REGION:1047	Primary somatosensory area, barrel field, layer 4
54	ABA_REGION:1048	Gigantocellular reticular nucleus
55	ABA_REGION:1049	Flocculus
56	ABA_REGION:105	Superior olivary complex, medial part
57	ABA_REGION:1050	Taenia tecta, dorsal part, layer 3
58	ABA_REGION:1051	direct tectospinal pathway
59	ABA_REGION:1052	Pedunculopontine nucleus
60	ABA_REGION:1053	Anterior cingulate area, layer 2/3
61	ABA_REGION:1054	Infralimbic area, layer 6a
62	ABA_REGION:1055	endorhinal groove
63	ABA_REGION:1056	Crus 1
64	ABA_REGION:1057	Gustatory areas
65	ABA_REGION:1058	Visceral area, layer 5
66	ABA_REGION:1059	Taenia tecta, dorsal part, layer 4
67	ABA_REGION:106	Inferior salivatory nucleus
68	ABA_REGION:1060	doral tegmental decussation
69	ABA_REGION:1061	Posterior pretectal nucleus
70	ABA_REGION:1062	Primary somatosensory area, barrel field, layer 6b
71	ABA_REGION:1063	hippocampal fissure
72	ABA_REGION:1064	Crus 2
73	ABA_REGION:1065	Hindbrain
74	ABA_REGION:1066	Anteromedial visual area, layer 2/3
75	ABA_REGION:1067	Taenia tecta, ventral part, layer 1
76	ABA_REGION:10671	Median eminence
77	ABA_REGION:10672	Simple lobule, granular layer
78	ABA_REGION:10673	Simple lobule, Purkinje layer
79	ABA_REGION:10674	Simple lobule, molecular layer
80	ABA_REGION:10675	Crus 1, granular layer
81	ABA_REGION:10676	Crus 1, Purkinje layer
82	ABA_REGION:10677	Crus 1, molecular layer
83	ABA_REGION:10678	Crus 2, granular layer
84	ABA_REGION:10679	Crus 2, Purkinje layer
85	ABA_REGION:1068	dorsal thalamus related
86	ABA_REGION:10680	Crus 2, molecular layer
87	ABA_REGION:10681	Paramedian lobule, granular layer
88	ABA_REGION:10682	Paramedian lobule, Purkinje layer
89	ABA_REGION:10683	Paramedian lobule, molecular layer
90	ABA_REGION:10684	Copula pyramidis, granular layer
91	ABA_REGION:10685	Copula pyramidis, Purkinje layer
92	ABA_REGION:10686	Copula pyramidis, molecular layer
93	ABA_REGION:10687	Paraflocculus, granular layer
94	ABA_REGION:10688	Paraflocculus, Purkinje layer
95	ABA_REGION:10689	Paraflocculus, molecular layer
96	ABA_REGION:1069	Parapyramidal nucleus
97	ABA_REGION:10690	Flocculus, granular layer
98	ABA_REGION:10691	Flocculus, Purkinje layer
99	ABA_REGION:10692	Flocculus, molecular layer
100	ABA_REGION:10693	Parasubiculum, layer 1
101	ABA_REGION:10694	Parasubiculum, layer 2
102	ABA_REGION:10695	Parasubiculum, layer 3
103	ABA_REGION:10696	Postsubiculum, layer 1
104	ABA_REGION:10697	Postsubiculum, layer 2
105	ABA_REGION:10698	Postsubiculum, layer 3
106	ABA_REGION:10699	Presubiculum, layer 1
107	ABA_REGION:107	Somatomotor areas, Layer 1
108	ABA_REGION:1070	Primary somatosensory area, barrel field, layer 5
109	ABA_REGION:10700	Presubiculum, layer 2
110	ABA_REGION:10701	Presubiculum, layer 3
111	ABA_REGION:10702	Dentate gyrus, subgranular zone
112	ABA_REGION:10703	Dentate gyrus, molecular layer
113	ABA_REGION:10704	Dentate gyrus, polymorph layer
