,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:A1 neuron","A1 neuron",nlx_146708,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 1 (FBbt_00001748).",,,,,:Category:Drosophila,,,
":Category:A2 neuron","A2 neuron",nlx_146709,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 2 (FBbt_00001749).",,,,,,,,
":Category:A3 neuron","A3 neuron",nlx_146710,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 3 (FBbt_00001750).",,,,,,,,
":Category:A4 neuron","A4 neuron",nlx_146711,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 4 (FBbt_00001751).",,,,,,,,
":Category:A5 neuron","A5 neuron",nlx_146712,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 5 (FBbt_00001752).",,,,,,,,
":Category:A6 neuron","A6 neuron",nlx_146713,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 6 (FBbt_00001753).",,,,,,,,
":Category:A7 neuron","A7 neuron",nlx_146714,"Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 7 (FBbt_00001754).",,,,,,,,
":Category:A8 neuron","A8 neuron",nlx_146715,"Any neuron (FBbt_00005106) that is part of some abdominal segment 8 (FBbt_00000029).",,,,,,,,
":Category:Abdominal 10 sensory neuron","Abdominal 10 sensory neuron",nlx_147337,,,,,,,,,
":Category:Abdominal 9 sensory neuron","Abdominal 9 sensory neuron",nlx_147332,,,,,,,,,
":Category:Abdominal intersegmental bidendritic neuron isbp","Abdominal intersegmental bidendritic neuron isbp",nlx_146896,"Bipolar multidendritic neuron in the lateral sensory cluster of larval abdominal segments 1-7. Located at the anterior segment boundary, it emits two long dendritic branches along the segment border muscle (muscle 8) (Williams and Shepherd, 1999).",,"abdominal intersegmental bidendritic neuron isbd",,,,,,
":Category:Abdominal intersegmental trachea-associated neuron istd","Abdominal intersegmental trachea-associated neuron istd",nlx_146904,"Trachea associated multidendritic neuron located anteriorly in the lateral sensory cluster of larval abdominal segments 1-7.",,,,,,,,
":Category:Abdominal neuron","Abdominal neuron",nlx_146707,"Any neuron (FBbt_00005106) that is part of some abdomen (FBbt_00000020).",,,,,:Category:Drosophila,,,
":Category:Abdominal posterior fascicle neuron","Abdominal posterior fascicle neuron",nlx_147164,"Any neuron (FBbt_00005106) that fasciculates with some abdominal segmental nerve (FBbt_00002197).",,,,,,,,
":Category:Abducens nucleus motor neuron","Abducens nucleus motor neuron",nlx_16848,"Motor neuron whose cell soma lies within the abducens nucleus.",:Category:Acetylcholine,"abducens nucleus motor cell,6th nerve motor neuron,VIth nerve motor neuron",":Category:Abducens nucleus",,:Category:Vertebrata,,,"File:Abducens nucleus motor neuron.JPG"
":Category:Accessory nucleus motor neuron","Accessory nucleus motor neuron",nlx_83979,"Motor neuron whose cell soma lies within the Acessory nucleus.",:Category:Acetylcholine,"spinal accessory nerve,acessory nucleus motor cell,11th nerve motor neuron,XIth nerve motor neuron",,":Category:Principal neuron role,:Category:Motor role of nerve cell",,,,
":Category:Accumbens nucleus core nucleus neuron","Accumbens nucleus core nucleus neuron",nlx_151892,,,,":Category:Core of nucleus accumbens",,:Category:Vertebrata,,,
":Category:Accumbens nucleus shell neuron","Accumbens nucleus shell neuron",nlx_151893,,,,":Category:Shell of nucleus accumbens",,:Category:Vertebrata,,,
":Category:Adult DN period neuron","Adult DN period neuron",nlx_147362,"Period (FBgn0003068) expressing neuron of the adult brain whose cell body is located in the posterior, dorsal-most cortex.",,,,,,,,
":Category:Adult Pdf neuron","Adult Pdf neuron",nlx_148521,"Pdf expressing neuron that is part of the adult.",,,,,,,,
":Category:Adult anterior LK leucokinin neuron","Adult anterior LK leucokinin neuron",nlx_149018,"Adult neuron that expresses leucokinin (FBgn0028418) and whose cell body is located superficially in the posterior side of the median protocerebrum (de Haro et al., 2010).",,"adult ALK neuron",,,,,,
