neuron_name,region_UBERON,region_ABA,annotations_ABA,annotations_UBERON
medial prefrontal cortex low-threshold spiking interneuron,medial prefrontal cortex,ORB,"[u'UNKN_REGION:491', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:714', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']"
 medial prefrontal cortex fast spiking interneuron,medial prefrontal cortex,ORB,"[u'UNKN_REGION:491', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:714', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
somatosensory cortex fast-firing interneuron,SS,SS,"[u'ABA_REGION:453', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000004']","[u'ABA_REGION:453', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000004']"
somatosensory cortex non-fast firing interneuron,SS,SS,"[u'ABA_REGION:453', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000004']","[u'ABA_REGION:453', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000004']"
Primary visual cortex layer 3 pyramidal young neurons,VISp,VISp,"[u'ABA_REGION:385', u'HBP_LAYER:0000003', u'HBP_MORPHOLOGY:0000001', u'HBP_DEVELOPMENTAL:0000003']","[u'ABA_REGION:385', u'HBP_LAYER:0000003', u'HBP_MORPHOLOGY:0000001', u'HBP_DEVELOPMENTAL:0000003']"
Primary visual cortex layer 3 pyramidal aged neurons,VISp,VISp,"[u'ABA_REGION:385', u'HBP_LAYER:0000003', u'HBP_MORPHOLOGY:0000001', u'HBP_DEVELOPMENTAL:0000008']","[u'ABA_REGION:385', u'HBP_LAYER:0000003', u'HBP_MORPHOLOGY:0000001', u'HBP_DEVELOPMENTAL:0000008']"
Auditory Cortex layer 2-3 pyramidal cell,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001']"
Auditory Cortex layer 2-3 pyramidal cell,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001']"
Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_MORPHOLOGY:0000001', 'Missing:cell', u'HBP_LAYER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000001', 'Missing:cell', u'HBP_LAYER:0000003']"
Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_MORPHOLOGY:0000001', 'Missing:cell', u'HBP_LAYER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000001', 'Missing:cell', u'HBP_LAYER:0000003']"
oculomotor predicted slow neurons,,,"['Missing:oculomotor predicted', u'HBP_EPHYS:0000100']","['Missing:oculomotor predicted', u'HBP_EPHYS:0000100']"
oculomotor predicted fast neurons,,,"['Missing:oculomotor predicted', u'HBP_EPHYS:0000080']","['Missing:oculomotor predicted', u'HBP_EPHYS:0000080']"
Trigeminal predicted fast fatigable motoneurons,trigeminal,trigeminal,"[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000080', 'Missing:fatigable']","[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000080', 'Missing:fatigable']"
Trigeminal predicted fast fatigue resistant  motoneurons,trigeminal,trigeminal,"[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000080', 'Missing:fatigue resistant', 'Missing:']","[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000080', 'Missing:fatigue resistant', 'Missing:']"
