"InputLine","Mapped Concept Count","Used lossy mention editor","Mapped Concept Label 1","Mapped Concept Label 2","Mapped Concept Label 3","Mapped Concept URI 1","Mapped Concept URI 2","Mapped Concept URI 3"
"corticopontine fibers",0,0,,,,,,
"type 1 of von economo",0,0,,,,,,
"sulcus posterolateralis",0,0,,,,,,
"parabrachial nucleus, ventral medial part",0,0,,,,,,
"crossed tectospinal pathway",0,0,,,,,,
"medial lemniscus of pons",0,0,,,,,,
"nucleus spinalis nervi trigemini, pars oralis",0,0,,,,,,
"lateral reticular nucleus magnocellular part",1,0,"Lateral reticular nucleus, magnocellular part",,,"http://mouse.brain-map.org/atlas/index.html#LRNm",,
"sublingual nucleus",1,0,"Nucleus of Roller",,,"http://mouse.brain-map.org/atlas/index.html#NR",,
"cerebello-rubro-thalamic fibers",0,0,,,,,,
"nucleus juxtaolivaris",0,0,,,,,,
"commissura supraoptica dorsalis pars dorsalis",0,0,,,,,,
"basal nucleus of amygdala",1,0,"Basolateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#BLA",,
"insular region",0,0,,,,,,
"nucleus intercalatus amygdalae",0,0,,,,,,
"fibrae perforantes pedunculi",0,0,,,,,,
"medial longitudinal stria",0,0,,,,,,
"fasciculus olfactorius cornu ammonis",0,0,,,,,,
"pedunculus cerebri",0,0,,,,,,
"sulcus frontalis superior",0,0,,,,,,
"lobule h ix of larsell",0,0,,,,,,
"visceral nervous system",0,0,,,,,,
"cochlear nuclei",1,0,"Cochlear nuclei",,,"http://mouse.brain-map.org/atlas/index.html#CN",,
"tractus corticospinalis",0,0,,,,,,
"intermediate lobe of hypophysis",0,0,,,,,,
"nucleus raphe magnus",1,0,"Nucleus raphe magnus",,,"http://mouse.brain-map.org/atlas/index.html#RM",,
"anterior olfactory nucleus, dorsal part",1,0,"Anterior olfactory nucleus, dorsal part",,,"http://mouse.brain-map.org/atlas/index.html#AONd",,
"velum medullare caudale",0,0,,,,,,
"prerubral field",0,0,,,,,,
"dorsal nucleus raphé",1,0,"Dorsal nucleus raphé",,,"http://mouse.brain-map.org/atlas/index.html#DR",,
"occipital white matter",0,0,,,,,,
"basic cell groups and regions",1,0,"Basic cell groups and regions",,,"http://mouse.brain-map.org/atlas/index.html#Brain",,
"geniculate ganglion of facial nerve",0,0,,,,,,
"nucleus spinalis nervi trigemini, pars interpolaris",0,0,,,,,,
"nucleus corporis geniculati lateralis, pars dorsalis",0,0,,,,,,
"superior branch of lateral fissure",0,0,,,,,,
"seahorse",0,0,,,,,,
"nucleus reuniens, caudal division, dorsal part",0,0,,,,,,
"isthmus of limbic lobe",0,0,,,,,,
"deep transitional gyrus",0,0,,,,,,
"tuberculum anterius thalamicum",0,0,,,,,,
"nucleus paracentralis thalami",0,0,,,,,,
"ventral posterolateral nucleus of the thalamus parvicellular part",1,0,"Ventral posterolateral nucleus of the thalamus, parvicellular part",,,"http://mouse.brain-map.org/atlas/index.html#VPLpc",,
"ventral part of ventral lateral posterior nucleus",1,1,"Lateral posterior nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#LP",,
"lamina ganglionaris",0,0,,,,,,
"velum medullare posterius",0,0,,,,,,
"cauda",0,0,,,,,,
"lateral mammillary nucleus",1,0,"Lateral mammillary nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LM",,
"anterior transverse temporal area 41",0,0,,,,,,
"ganglia basales",0,0,,,,,,
"lateral spinal nucleus",0,0,,,,,,
"lateral septal nucleus, rostral part, medial zone",0,0,,,,,,
"ventromedial nucleus of the hypothalamus central part",0,0,,,,,,
"central amygdaloid nucleus, medial division, anterodorsal part",0,0,,,,,,
"visual-auditory cortex",0,0,,,,,,
"nucleus of the horizontal limb of the diagonal band",0,0,,,,,,
"ectorhinal area",1,0,"Ectorhinal area",,,"http://mouse.brain-map.org/atlas/index.html#ECT",,
"ventrolateral division of lateral nucleus of amygdala",1,1,"Lateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LA",,
"striatonigral fibers",0,0,,,,,,
"fissura cerebrocerebellaris",0,0,,,,,,
"nucleus magnocellularis tractus optici",0,0,,,,,,
"basolateral nucleus of the amygdala anterior part",1,0,"Basolateral amygdalar nucleus, anterior part",,,"http://mouse.brain-map.org/atlas/index.html#BLAa",,
"anterior commissure, olfactory limb",0,0,,,,,,
"nucleus intercalatus",0,0,,,,,,
"arcuate nucleus-2",0,0,,,,,,
"falciform lobe",0,0,,,,,,
"submedial nucleus of thalamus",1,0,"Submedial nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#SMT",,
"frontal region",0,0,,,,,,
"cortical amygdalar nucleus, posterior part, medial zone",0,0,,,,,,
"lateral reticular nucleus",1,0,"Lateral reticular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LRN",,
"anterior olfactory nucleus dorsal part pyramidal layer",0,0,,,,,,
"ventral gray commissure of cord",0,0,,,,,,
"inferior olive, subnucleus a of medial nucleus",0,0,,,,,,
"intermediomedial nucleus",0,0,,,,,,
"rostral interstitial nucleus of medial longitudinal fasciculus",0,0,,,,,,
"nucleus ambiguus, ventral division",1,0,"Nucleus ambiguus, ventral division",,,"http://mouse.brain-map.org/atlas/index.html#AMBv",,
"nucleus ventrooralis anterior",0,0,,,,,,
"perireunensis nucleus",1,0,"Perireunensis nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PR",,
"bed nucleus of the stria terminalis, posteromedial part",0,0,,,,,,
"frankfurt zero  plane",0,0,,,,,,
"corpus cerebelli",0,0,,,,,,
"interposed nucleus proper",0,0,,,,,,
"area 48 of brodmann",0,0,,,,,,
"nucleus interstitialis of posterior commissure",0,0,,,,,,
"oval area of flechsig",0,0,,,,,,
"peduncular loop",0,0,,,,,,
"nucleus olivaris inferior accessorius dorsalis",0,0,,,,,,
"caudate nucleus",1,0,"Spinal nucleus of the trigeminal, caudal part",,,"http://mouse.brain-map.org/atlas/index.html#SPVC",,
"ventral raphe tegmental nucleus",0,0,,,,,,
"postcentral fissure-1",0,0,,,,,,
"field ca1, pyramidal layer",1,0,"Field CA1, pyramidal layer",,,"http://mouse.brain-map.org/atlas/index.html#CA1sp",,
"griseum periventriculare mesencephali",0,0,,,,,,
"bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",0,0,,,,,,
"nucleus princeps colliculi inferioris",0,0,,,,,,
"pontomedullary junction",0,0,,,,,,
"preoptic nuclei",0,0,,,,,,
"basolateral amygdalar nucleus, ventral part",1,0,"Basolateral amygdalar nucleus, ventral part",,,"http://mouse.brain-map.org/atlas/index.html#BLAv",,
"major root of trigeminal nerve",0,0,,,,,,
"entopeduncular nucleus",0,0,,,,,,
"cuneiform nucleus",1,0,"Cuneiform nucleus",,,"http://mouse.brain-map.org/atlas/index.html#CUN",,
"principal sensory trigeminal nucleus, dorsomedial part",0,0,,,,,,
"medial preoptic nucleus, lateral part",1,0,"Medial preoptic nucleus, lateral part",,,"http://mouse.brain-map.org/atlas/index.html#MPNl",,
"paralaminar nucleus of amygdala",0,0,,,,,,
"area frontalis intermedia",0,0,,,,,,
"bed nucleus of the stria medullaris",0,0,,,,,,
"lateral sulcus",0,0,,,,,,
"paramedian lobule",1,0,"Paramedian lobule",,,"http://mouse.brain-map.org/atlas/index.html#PRM",,
"retro-olivary cell group",0,0,,,,,,
"facial motor nucleus",1,0,"Facial motor nucleus",,,"http://mouse.brain-map.org/atlas/index.html#VII",,
"spinotectal pathway",0,0,,,,,,
"vestibulocochlear nerve roots",0,0,,,,,,
"central amygdaloid nucleus, medial posteroventral part",1,1,"Medial amygdalar nucleus, posteroventral part",,,"http://mouse.brain-map.org/atlas/index.html#MEApv",,
"rexed's lamina i",0,0,,,,,,
"brachium of the inferior colliculus",0,0,,,,,,
"central lateral nucleus",1,0,"Central lateral nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#CL",,
"nucleus radicis descendentis nervi trigemini",0,0,,,,,,
"ventral portion of pons",1,1,"Pons",,,"http://mouse.brain-map.org/atlas/index.html#P",,
"tuberomammillary nucleus ventral part",1,0,"Tuberomammillary nucleus, ventral part",,,"http://mouse.brain-map.org/atlas/index.html#TMv",,
"nucleus of commissura anterior",0,0,,,,,,
"lateral striatal stripe",0,0,,,,,,
"cisterna laminae terminalis",0,0,,,,,,
"tractus habenulo-intercruralis",0,0,,,,,,
"decussatio tegmentalis dorsalis",0,0,,,,,,
"stigmoid hypothalamic nucleus",0,0,,,,,,
"nucleus paranigralis",0,0,,,,,,
"neoruber",0,0,,,,,,
"paralamellar basolateral nucleus",0,0,,,,,,
"area tegmentalis ventralis",0,0,,,,,,
"lobulus simplex",1,0,"Simple lobule",,,"http://mouse.brain-map.org/atlas/index.html#SIM",,
"anterior frontal cortex",0,0,,,,,,
"nucleus olivaris caudalis",0,0,,,,,,
"substantia gelatinosa of rolando",0,0,,,,,,
"nuclei magnocellularis colliculi superioris",0,0,,,,,,
"sulcus of corpus callosum",0,0,,,,,,
"medial amygdalar nucleus, posteroventral part",1,0,"Medial amygdalar nucleus, posteroventral part",,,"http://mouse.brain-map.org/atlas/index.html#MEApv",,
"area 11 of brodmann-09",0,0,,,,,,
"tractus cerebello-rubralis",0,0,,,,,,
"tractus habenulo-interpeduncularis",0,0,,,,,,
"basal amygdaloid nucleus, medial part, deep portion",0,0,,,,,,
"gyrus precentralis insulae",0,0,,,,,,
"habenulointerpeduncular tract",0,0,,,,,,
"anterior transverse temporal gyrus",0,0,,,,,,
"nucleus olivaris accessorius dorsalis",0,0,,,,,,
"cisterna magna",0,0,,,,,,
"nucleus anterior hypothalami",1,0,"Anterior hypothalamic nucleus",,,"http://mouse.brain-map.org/atlas/index.html#AHN",,
"nuclei premamillaris",0,0,,,,,,
"periaqueductal gray",1,0,"Periaqueductal gray",,,"http://mouse.brain-map.org/atlas/index.html#PAG",,
"parafascicular nucleus of the thalamus",1,0,"Parafascicular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PF",,
"tegmental reticular formation",0,0,,,,,,
"supracallosal gyrus",0,0,,,,,,
"periaqueductal gray, ventrolateral division",0,0,,,,,,
"dentate nucleus, magnocellular part",0,0,,,,,,
"paramedian reticular nucleus",1,0,"Paramedian reticular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PMR",,
"thalamic commissure",0,0,,,,,,
"lateral septal nucleus, caudal part, ventral zone, medial region, ventral domain",0,0,,,,,,
"nucleus intralamellaris ventralis",0,0,,,,,,
"nucleus of the stria medullaris",0,0,,,,,,
"lobulus quadrangularis pars  caudalis/posterior",0,0,,,,,,
"motor cortex",0,0,,,,,,
"canalis centralis",0,0,,,,,,
"ventral horn",0,0,,,,,,
"nucleus habenularis lateralis",1,0,"Lateral habenula",,,"http://mouse.brain-map.org/atlas/index.html#LH",,
"nucleus intralamellaris",0,0,,,,,,
"nuclei cerebelli",1,0,"Cerebellar nuclei",,,"http://mouse.brain-map.org/atlas/index.html#CBN",,
"rostral medullary velum",0,0,,,,,,
"globus pallidus lateralis",1,1,"Pallidum",,,"http://mouse.brain-map.org/atlas/index.html#PAL",,
"nucleus ventralis corporis trapezoidei",0,0,,,,,,
"tractus olfactorium",0,0,,,,,,
"interpeduncular nucleus intermediate subnucleus",0,0,,,,,,
"anterior pyramidal tract",0,0,,,,,,
"prelimbic cortex",0,0,,,,,,
"superficial white layer of superior colliculus",0,0,,,,,,
"middle temporal sulcus",0,0,,,,,,
"anteroventral nucleus thalamus",1,0,"Anteroventral nucleus of thalamus",,,"http://mouse.brain-map.org/atlas/index.html#AV",,
"regio peripalaeocorticalis claustralis",0,0,,,,,,
"lateral septum nucleus, dorsal part",0,0,,,,,,
"nucleus pontinus nervi trigeminalis",0,0,,,,,,
"mesencephalic reticular nucleus",0,0,,,,,,
"gyrus rostralis superior",0,0,,,,,,
"nuclei intralaminares",0,0,,,,,,
"nucleus of the solitary tract medial part caudal zone",0,0,,,,,,
"nerve vii",0,0,,,,,,
"lateral habenular nucleus",1,0,"Lateral habenula",,,"http://mouse.brain-map.org/atlas/index.html#LH",,
"dorsal paramedian nuclei of raphe",0,0,,,,,,
"retrohippocampal region",1,0,"Retrohippocampal region",,,"http://mouse.brain-map.org/atlas/index.html#RHP",,
"lingula",1,0,"Lingula (I)",,,"http://mouse.brain-map.org/atlas/index.html#LING",,
"a8 dopamine cells",0,0,,,,,,
